20:35:27.981	JOBS	[JOBS-51]	didn't allow me to die, re-running Thread-1271
20:35:27.984	JOBS	[JOBS-51]	re-running consumer Thread-1271
20:36:58.837	c.m.s.activities.MainActivity	[MainActivity-592]	onBuyStatusKnown
20:36:58.843	c.m.a.checkout.CheckoutManager	[CheckoutManager-80]	checkIfSkuIsBought => mPurchases: 0
20:36:58.846	c.m.s.jobs.UpdatePhoneContactsJob	[UpdatePhoneContactsJob-33]	Caller: MainActivity
20:36:58.846	c.m.s.activities.MainActivity	[MainActivity-455]	updatePage: 0
20:36:58.847	c.m.s.utils.UpdaterUtil	[UpdaterUtil-29]	Update: 245 => 245
20:36:58.870	c.m.s.utils.TutorialManager	[TutorialManager-40]	showHelp: MainActivity | force: false | HomeFragment
20:36:58.870	c.m.s.utils.TutorialManager	[TutorialManager-117]	showHelp ignored: 1
20:36:58.870	c.m.s.fragments.HomeFragment	[HomeFragment-226]	HomeFragment - Telefonkontakte gefunden
20:36:58.931	c.m.a.checkout.CheckoutManager	[CheckoutManager-137]	Skus loaded: 1
20:36:58.932	c.m.a.checkout.CheckoutManager	[CheckoutManager-80]	checkIfSkuIsBought => mPurchases: 0
20:36:58.937	c.m.s.activities.MainActivity	[MainActivity-150]	Interstitial wird geladen...
20:36:58.937	c.m.s.activities.MainActivity	[MainActivity-592]	onBuyStatusKnown
20:36:58.937	c.m.a.checkout.CheckoutManager	[CheckoutManager-80]	checkIfSkuIsBought => mPurchases: 0
20:37:04.893	c.m.a.checkout.CheckoutManager	[CheckoutManager-80]	checkIfSkuIsBought => mPurchases: 0
20:37:04.894	c.m.s.activities.MainActivity	[MainActivity-646]	Interstitial ist geladen: true | false
20:37:05.267	c.m.s.activities.MainActivity	[MainActivity-381]	onDestroy
20:37:08.292	c.m.s.activities.MainActivity	[MainActivity-135]	Interstitial geladen!
20:37:27.993	JOBS	[JOBS-51]	Thread-1271: load factor check. true = (0 < 1)|| (0 * 3 < 0 + 0). consumer thread: true
20:37:27.996	JOBS	[JOBS-51]	didn't allow me to die, re-running Thread-1271
20:37:27.997	JOBS	[JOBS-51]	re-running consumer Thread-1271
20:39:28.002	JOBS	[JOBS-51]	Thread-1271: load factor check. true = (0 < 1)|| (0 * 3 < 0 + 0). consumer thread: true
20:39:28.003	JOBS	[JOBS-51]	didn't allow me to die, re-running Thread-1271
20:39:28.004	JOBS	[JOBS-51]	re-running consumer Thread-1271
20:41:28.008	JOBS	[JOBS-51]	Thread-1271: load factor check. true = (0 < 1)|| (0 * 3 < 0 + 0). consumer thread: true
20:41:28.009	JOBS	[JOBS-51]	didn't allow me to die, re-running Thread-1271
20:41:28.010	JOBS	[JOBS-51]	re-running consumer Thread-1271
